name,id,average_monthly_rent
Arcos de Valdevez,1601,202.16
Caminha,1602,232.24
Melgaço,1603,215.67
Monção,1604,208.22
Paredes de Coura,1605,203.17
Ponte da Barca,1606,170.97
Ponte de Lima,1607,208.46
Valença,1608,218.61
Viana do Castelo,1609,243.40
Vila Nova de Cerveira,1610,244.05
Amares,0301,189.72
Barcelos,0302,214.19
Braga,0303,217.79
Esposende,0306,268.76
Terras de Bouro,0310,143.52
Vila Verde,0313,204.50
Fafe,0307,175.67
Guimarães,0308,161.73
Póvoa de Lanhoso,0309,184.95
Vieira do Minho,0311,146.21
Vila Nova de Famalicão,0312,189.37
Vizela,0314,158.35
Santo Tirso,1314,184.47
Trofa,1318,244.65
Espinho,0107,173.24
Gondomar,1304,168.38
Maia,1306,234.85
Matosinhos,1308,229.73
Porto,1312,191.49
Póvoa de Varzim,1313,242.49
Valongo,1315,211.90
Vila do Conde,1316,230.81
Vila Nova de Gaia,1317,200.25
Castelo de Paiva,0106,129.74
Cabeceiras de Basto,0304,164.70
Celorico de Basto,0305,134.36
Amarante,1301,155.60
Baião,1302,149.87
Felgueiras,1303,169.29
Lousada,1305,203.81
Marco de Canaveses,1307,165.13
Paços de Ferreira,1309,188.99
Paredes,1310,189.48
Penafiel,1311,166.79
Mondim de Basto,1705,183.50
Ribeira de Pena,1709,166.11
Cinfães,1804,155.18
Resende,1813,178.64
Arouca,0104,185.38
Santa Maria da Feira,0109,195.11
Oliveira de Azeméis,0113,199.36
São João da Madeira,0116,196.27
Vale de Cambra,0119,203.80
Carrazeda de Ansiães,0403,165.88
Freixo de Espada à Cinta,0404,137.75
Torre de Moncorvo,0409,147.19
Vila Flor,0410,154.42
Vila Nova de Foz Côa,0914,171.33
Alijó,1701,158.90
Mesão Frio,1704,135.38
Peso da Régua,1708,160.65
Sabrosa,1710,124.79
Santa Marta de Penaguião,1711,139.27
Vila Real,1714,226.14
Armamar,1801,230.15
Lamego,1805,184.92
Moimenta da Beira,1807,174.85
Penedono,1812,194.94
São João da Pesqueira,1815,230.66
Sernancelhe,1818,132.42
Tabuaço,1819,193.35
Tarouca,1820,183.97
Alfândega da Fé,0401,123
Bragança,0402,203.90
Macedo de Cavaleiros,0405,184.34
Miranda do Douro,0406,179.62
Mirandela,0407,199.76
Mogadouro,0408,188.78
Vimioso,0411,131.29
Vinhais,0412,111.72
Boticas,1702,186.61
Chaves,1703,199.04
Montalegre,1706,179.22
Murça,1707,175.57
Valpaços,1712,197.86
Vila Pouca de Aguiar,1713,193.90
Agadão,010101,42.50
Aguada de Baixo,010102,185.74
Aguada de Cima,010103,221.33
Águeda,010104,212.27
Barrô,010105,238.26
Belazaima do Chão,010106,158.33
Castanheira do Vouga,010107,101.25
Espinhel,010108,223.25
Fermentelos,010109,247.89
Lamas do Vouga,010110,188.09
Macieira de Alcoba,010111,0
Macinhata do Vouga,010112,200.41
Óis da Ribeira,010113,201.53
Préstimo,010114,145.42
Recardães,010115,223.02
Segadães,010116,210.20
Travassô,010117,213.71
Trofa,010118,216.58
Valongo do Vouga,010119,198.60
Borralha,010120,270.65
Albergaria-a-Velha,010201,241.96
Alquerubim,010202,205.07
Angeja,010203,177.88
Branca,010204,239.86
Frossos,010205,199.06
Ribeira de Fráguas,010206,194.38
São João de Loure,010207,211.57
Valmaior,010208,199.92
Amoreira da Gândara,010301,214.58
Ancas,010302,208.33
Arcos,010303,235.81
Avelãs de Caminho,010304,248.03
Avelãs de Cima,010305,225.38
Mogofores,010306,190.58
Moita,010307,255.18
Óis do Bairro,010308,248.30
Sangalhos,010309,226.24
São Lourenço do Bairro,010310,239.63
Tamengos,010311,248.93
Vila Nova de Monsarros,010312,189.31
Vilarinho do Bairro,010313,210.34
Paredes do Bairro,010314,236.11
Aguim,010315,250.54
Aradas,010501,280.03
Cacia,010502,230.71
Eirol,010503,176.15
Eixo,010504,233.15
Esgueira,010505,278.90
Glória,010506,207.45
Nariz,010507,198.03
Oliveirinha,010508,199.81
Requeixo,010509,233.09
São Bernardo,010510,308.64
São Jacinto,010511,138.88
Vera Cruz,010512,295.47
Santa Joana,010513,182.25
Nossa Senhora de Fátima,010514,253.15
Avanca,010801,226.06
Beduído,010802,192.07
Canelas,010803,195.29
Fermelã,010804,203.86
Pardilhó,010805,243.03
Salreu,010806,232.82
Veiros,010807,216.92
Gafanha do Carmo,011001,291.54
Gafanha da Encarnação,011002,286.46
