name,id,population_density
Arcos de Valdevez,1601,51
Caminha,1602,122.2
Melgaço,1603,38.7
Monção,1604,91
Paredes de Coura,1605,66.6
Ponte da Barca,1606,66.2
Ponte de Lima,1607,135.8
Valença,1608,120.6
Viana do Castelo,1609,278.1
Vila Nova de Cerveira,1610,85.3
Amares,0301,230.5
Barcelos,0302,317.7
Braga,0303,989.6
Esposende,0306,359
Terras de Bouro,0310,26.1
Vila Verde,0313,209.4
Fafe,0307,231.1
Guimarães,0308,656
Póvoa de Lanhoso,0309,165.1
Vieira do Minho,0311,59.5
Vila Nova de Famalicão,0312,663.9
Vizela,0314,961
Santo Tirso,1314,523.6
Trofa,1318,542.6
Espinho,0107,1509.5
Gondomar,1304,1274.3
Maia,1306,1627.6
Matosinhos,1308,2811.3
Porto,1312,5736.1
Póvoa de Varzim,1313,771.3
Valongo,1315,1249.4
Vila do Conde,1316,533.7
Vila Nova de Gaia,1317,1794.4
Castelo de Paiva,0106,145.5
Cabeceiras de Basto,0304,69.1
Celorico de Basto,0305,111
Amarante,1301,186.7
Baião,1302,117.6
Felgueiras,1303,501.7
Lousada,1305,493.2
Marco de Canaveses,1307,264.8
Paços de Ferreira,1309,793.6
Paredes,1310,554.1
Penafiel,1311,340.5
Mondim de Basto,1705,43.5
Ribeira de Pena,1709,30.1
Cinfães,1804,85.4
Resende,1813,92.1
Arouca,0104,67.9
Santa Maria da Feira,0109,645.3
Oliveira de Azeméis,0113,425.9
São João da Madeira,0116,2733.6
Vale de Cambra,0119,155.2
Carrazeda de Ansiães,0403,22.8
Freixo de Espada à Cinta,0404,15.5
Torre de Moncorvo,0409,16.1
Vila Flor,0410,25.2
Vila Nova de Foz Côa,0914,18.4
Alijó,1701,40.1
Mesão Frio,1704,166.4
Peso da Régua,1708,180.6
Sabrosa,1710,40.5
Santa Marta de Penaguião,1711,106.2
Vila Real,1714,136.9
Armamar,1801,53.7
Lamego,1805,161.4
Moimenta da Beira,1807,46.4
Penedono,1812,22.1
São João da Pesqueira,1815,29.6
Sernancelhe,1818,24.8
Tabuaço,1819,47.4
Tarouca,1820,80.4
Alfândega da Fé,0401,15.9
Bragança,0402,30.1
Macedo de Cavaleiros,0405,22.6
Miranda do Douro,0406,15.4
Mirandela,0407,36.2
Mogadouro,0408,12.5
Vimioso,0411,9.7
Vinhais,0412,13.1
Boticas,1702,17.9
Chaves,1703,69.8
Montalegre,1706,13.1
Murça,1707,31.4
Valpaços,1712,30.8
Vila Pouca de Aguiar,1713,30.2
Agadão,010101,9.5
Aguada de Baixo,010102,373.8
Aguada de Cima,010103,141.3
Águeda,010104,415.2
Barrô,010105,281.7
Belazaima do Chão,010106,31.6
Castanheira do Vouga,010107,21.5
Espinhel,010108,200.4
Fermentelos,010109,379.6
Lamas do Vouga,010110,169.6
Macieira de Alcoba,010111,10.9
Macinhata do Vouga,010112,106.6
Óis da Ribeira,010113,212
Préstimo,010114,21.3
Recardães,010115,472
Segadães,010116,210.2
Travassô,010117,205.2
Trofa,010118,440.1
Valongo do Vouga,010119,112.9
Borralha,010120,256.2
Albergaria-a-Velha,010201,290.9
Alquerubim,010202,155
Angeja,010203,97.6
Branca,010204,185.6
Frossos,010205,121.8
Ribeira de Fráguas,010206,64.1
São João de Loure,010207,184.3
Valmaior,010208,115.4
Amoreira da Gândara,010301,116.8
Ancas,010302,96.7
Arcos,010303,449.3
Avelãs de Caminho,010304,194.2
Avelãs de Cima,010305,53.9
Mogofores,010306,385.3
Moita,010307,72.7
Óis do Bairro,010308,174.5
Sangalhos,010309,240.7
São Lourenço do Bairro,010310,156.9
Tamengos,010311,196.4
Vila Nova de Monsarros,010312,72.2
Vilarinho do Bairro,010313,108.1
Paredes do Bairro,010314,151.5
Aguim,010315,182
Aradas,010501,1025.7
Cacia,010502,205.7
Eirol,010503,131.9
Eixo,010504,333.5
Esgueira,010505,783.2
Glória,010506,1328.7
Nariz,010507,152.1
Oliveirinha,010508,399.1
Requeixo,010509,117.9
São Bernardo,010510,1260.3
São Jacinto,010511,71.8
Vera Cruz,010512,251
Santa Joana,010513,1384.7
Nossa Senhora de Fátima,010514,152.3
Avanca,010801,293.8
Beduído,010802,367
Canelas,010803,134.7
Fermelã,010804,107.9
Pardilhó,010805,266
Salreu,010806,230.7
Veiros,010807,221.8
Gafanha do Carmo,011001,248.3
Gafanha da Encarnação,011002,565.9
Gafanha da Nazaré,011003,1011.3
Ílhavo (São Salvador),011004,393.6
Antes,011101,215.7
Barcouço,011102,101
Casal Comba,011103,169.3
Luso,011104,153.7
Mealhada,011105,452.7
Pampilhosa,011106,301.3
Vacariça,011107,104.2
Ventosa do Bairro,011108,141.3
Bunheiro,011201,108.2
Monte,011202,638.3
Murtosa,011203,254.2
Torreira,011204,87.3
Bustos,011401,250.4
Mamarrosa,011402,222.6
Oiã,011403,293.4
Oliveira do Bairro,011404,277.1
Palhaça,011405,262
Troviscal,011406,206
Arada,011501,221.3
Cortegaça,011502,415.8
Esmoriz,011503,1248.8
Maceda,011504,219
Ovar,011505,371.4
São Vicente de Pereira Jusã,011506,269.5
Válega,011507,254.5
São João,011508,426
